Title,Published_date,Views,Comments,Month
L26. Print Root to Node Path in Binary Tree | C++ | Java,2021-08-29,109309,203,Aug
L25. Check for Symmetrical Binary Trees | C++ | Java,2021-08-29,85934,141,Aug
L24. Right/Left View of Binary Tree | C++ | Java,2021-08-29,114252,214,Aug
L23. Bottom View of Binary Tree | C++ | Java,2021-08-29,96887,135,Aug
L22. Top View of Binary Tree | C++ | Java,2021-08-29,133932,247,Aug
L21. Vertical Order Traversal of Binary Tree | C++ | Java,2021-08-29,161544,313,Aug
L20. Boundary Traversal in Binary Tree | C++ | Java,2021-08-23,138010,284,Aug
L19. Zig-Zag or Spiral Traversal in Binary Tree | C++ | Java,2021-08-23,133089,280,Aug
L18. Check it two trees are Identical or Not | C++ | Java,2021-08-23,93683,117,Aug
L17. Maximum Path Sum in Binary Tree | C++ | Java,2021-08-23,171414,340,Aug
L16. Diameter of Binary Tree | C++ | Java,2021-08-23,179441,238,Aug
L15. Check for Balanced Binary Tree | C++ | Java,2021-08-23,164958,244,Aug
L14. Maximum Depth in Binary Tree | Height of Binary Tree | C++ | Java,2021-08-22,147952,229,Aug
L13. Preorder Inorder Postorder Traversals in One Traversal | C++ | Java | Stack | Binary Trees,2021-08-22,102080,203,Aug
L12. Iterative Postorder Traversal using 1 Stack | C++ | Java | Binary Trees,2021-08-22,120700,218,Aug
L11. Iterative Postorder Traversal using 2 Stack | C++ | Java | Binary Tree,2021-08-22,111522,149,Aug
L10. iterative Inorder Traversal in Binary Tree | C++ | Java | Stack,2021-08-22,162935,120,Aug
L9. Iterative Preorder Traversal in Binary Tree | C++ | Java | Stack,2021-08-22,156338,143,Aug
L8. Level Order Traversal of Binary Tree | BFS | C++ | Java,2021-08-21,187295,218,Aug
L7. Postorder Traversal of Binary Tree | C++ | Java | Code Explanation,2021-08-21,75882,73,Aug
L6. Inorder Traversal of Binary Tree | C++ | Java | Code Explanation,2021-08-21,107986,86,Aug
L5. Preorder Traversal of Binary Tree | C++ | Java | Code Explanation,2021-08-21,134952,117,Aug
L4. Binary Tree Traversals in Binary Tree | BFS | DFS,2021-08-20,146430,179,Aug
L3. Binary Tree Representation in Java,2021-08-20,88641,84,Aug
L2. Binary Tree Representation in C++,2021-08-20,123710,157,Aug
L1. Introduction to Trees | Types of Trees,2021-08-20,252200,348,Aug
Announcing the FREE ka TREE SERIES  #shorts,2021-08-14,421420,159,Aug
Rotten Oranges (BFS) | C++ & Java Code,2021-07-21,53034,125,Jul
Implement Min Stack | O(2N) and O(N) Space Complexity,2021-07-19,41524,54,Jul
Sliding Window Maximum | Leetcode,2021-07-16,138214,169,Jul
Largest Rectangle in Histogram | Part - 2 (6-7 lines of Code Approach),2021-07-06,66191,113,Jul
Largest Rectangle in Histogram | Part - 1 | Leetcode 84,2021-07-06,115023,120,Jul
Implement LFU cache in C++/Java  | Leetcode(Hard),2021-07-01,33453,57,Jul
Imlement LFU Cache | Leetcode(Hard),2021-07-01,68416,89,Jul
Implement LRU Cache | C++ and Java Clean and Short Implementation,2021-06-23,73414,158,Jun
Implement LRU Cache | Leetcode,2021-06-23,156392,194,Jun
Next Greater Element | Two Variants | Leetcode,2021-06-21,131507,184,Jun
Valid Parentheses | Leetcode,2021-06-16,97196,114,Jun
Queue Implementation using Stack | O(1) Push and Pop Operations,2021-06-15,88960,93,Jun
Stack Implementation using a Single Queue,2021-06-14,96200,78,Jun
Queue Implementation using Arrays,2021-06-11,61946,51,Jun
Aggressive Cows | Binary Search,2021-06-08,94515,269,Jun
Allocate Minimum Number of Pages | Binary Search,2021-06-07,122185,662,Jun
Implementation of Stack using Arrays,2021-06-03,116730,63,Jun
Power Set | Print all Subsequences,2021-06-02,87020,91,Jun
"K-th element of two sorted Arrays | O(log(min(n,m))) approach",2021-06-01,95973,202,Jun
Median of two Sorted Arrays of Different Sizes | Binary Search,2021-05-29,212325,545,May
Search Element In a Rotated Sorted Array | Leetcode,2021-05-28,99419,176,May
Single Element In Sorted Array | Leetcode,2021-05-27,62876,92,May
Median of Row Wise Sorted Matrix | Nested Binary Search,2021-05-26,117159,241,May
Nth Root of a Number Using Binary Search,2021-05-25,91813,187,May
L19. Rat in A Maze | Backtracking,2021-05-17,126211,238,May
L16. M-Coloring Problem | Backtracking,2021-05-14,115581,166,May
L15. Sudoko Solver | Backtracking,2021-05-12,152823,265,May
L14. N-Queens | Leetcode Hard | Backtracking,2021-05-11,225935,381,May
Kosaraju's Algorithm for Strongly Connected Components (SCC),2021-04-28,80206,146,Apr
Bellman Ford Algorithm | Detect Negative Weight Cycle in Graphs,2021-04-28,79527,206,Apr
Bridges in Graph | Cut Edge,2021-04-28,81796,159,Apr
Articulation Point | Cut Vertex,2021-04-28,47985,119,Apr
Prim's Algorithm | C++ Code Implementation,2021-04-28,88762,149,Apr
Kruskal's Algorithm,2021-04-28,93339,128,Apr
Prim's Algorithm | Java Code Implementation,2021-04-28,30888,42,Apr
Prims Algorithm | Minimum Spanning Tree,2021-04-28,129498,76,Apr
Disjoint Set | Union By Rank and Path Compression,2021-04-28,114676,177,Apr
Dijkstra's Algorithm | Shortest Path in Undirected Graphs,2021-04-28,160334,315,Apr
Minimum Spanning Tree Explanation,2021-04-28,71607,42,Apr
Shortest Path in Directed Acyclic Graph (DAG),2021-04-28,93352,331,Apr
Cycle Detection in Directed Graph using BFS(Kahn's Algorithm),2021-04-28,82161,81,Apr
Shortest Path in Undirected Graph with Unit Weights,2021-04-28,94812,152,Apr
Bipartite Graph (DFS) | Graph Coloring,2021-04-28,73905,100,Apr
Cycle Detection in Directed Graph using DFS,2021-04-28,151377,217,Apr
Topological Sort (BFS) | Kahn's Algorithm,2021-04-28,101614,150,Apr
Bipartite Graph (BFS) | Graph Coloring,2021-04-28,124123,138,Apr
Topological Sort (DFS),2021-04-28,135192,162,Apr
Cycle Detection in Undirected Graph using BFS,2021-04-28,155128,171,Apr
Graph Representation in C++,2021-04-28,125539,168,Apr
Depth-First Dearch (DFS) | Traversal Technique in Graph,2021-04-28,136277,147,Apr
Cycle Detection in Undirected Graph using DFS,2021-04-28,123513,133,Apr
Connected Components in Graphs,2021-04-28,106977,60,Apr
Graph Representation in Java,2021-04-28,67063,39,Apr
Breadth-First Search (BFS) | Traversal Technique in Graphs,2021-04-28,175013,245,Apr
"Instead of watching this, watch the new series, link in description....",2021-04-28,230192,137,Apr
3 MAJOR ANNOUNCEMENTS |  Strivers Graph Challenge,2021-04-27,223645,223,Apr
L13. Print all Permutations of a String/Array | Recursion | Approach - 2,2021-03-08,184307,203,Mar
